1.加勒比,#genre#
carib239西川,https://fc.maa1808.com/n/uvbinnjany/uvbinnjany.m3u8
carib375姬川,https://fc.maa1808.com/n/qwpcalfmpo/qwpcalfmpo.m3u8
carib363西川,https://fc.maa1808.com/b/ravxbmkthk/ravxbmkthk.m3u8
carib339姬川,https://fc.maa1808.com/d/pqkdrfftpw/pqkdrfftpw.m3u8
carib665姬川,https://fc.maa1808.com/c/mrpmoinlmj/mrpmoinlmj.m3u8
carib004西川,https://fc.maa1808.com/f/xuyanbincr/xuyanbincr.m3u8
carib337西川,https://fc.maa1808.com/d/uuvombzvvi/uuvombzvvi.m3u8
carib288西川,https://fc.maa1808.com/m/jtzgqcaxvw/jtzgqcaxvw.m3u8
carib146西川,https://fc.maa1808.com/c/nofftnyelj/nofftnyelj.m3u8
carib665姬川,https://fc.maa1808.com/g/oplnohpsmh/oplnohpsmh.m3u8
carib311西川,https://fc.maa1808.com/h/kmqtdxwjmz/kmqtdxwjmz.m3u8
carib375姬川,https://fc.maa1808.com/f/lpeelnsfwx/lpeelnsfwx.m3u8
carib420丘笑,https://fc.maa1808.com/d/qzwkkcltyl/qzwkkcltyl.m3u8
carib182西川,https://fc.maa1808.com/f/tveemkomvr/tveemkomvr.m3u8
carib533丘笑,https://fc.maa1808.com/f/dkpfeyqgrj/dkpfeyqgrj.m3u8
carib433姬川,https://fc.maa1808.com/g/vphfeljbji/vphfeljbji.m3u8
carib002姬川,https://fc.maa1808.com/c/fpsvmyqlej/fpsvmyqlej.m3u8
carib541神田,https://fc.maa1808.com/c/rhmiiydppe/rhmiiydppe.m3u8
carib710神田,https://fc.maa1808.com/h/mesmnroogk/mesmnroogk.m3u8
carib589立花琉莉,https://fc.maa1808.com/n/okjmiigqsr/okjmiigqsr.m3u8
carib744立花琉莉,https://fc.maa1808.com/c/kmiorrpitk/kmiorrpitk.m3u8
carib531立花琉莉,https://fc.maa1808.com/n/cekgvsrnrr/cekgvsrnrr.m3u8
carib495神田,https://fc.maa1808.com/g/xvbqwmnpqm/xvbqwmnpqm.m3u8
carib474立花琉莉,https://fc.maa1808.com/h/oqmoimljpr/oqmoimljpr.m3u8
carib717杏奈,https://fc.maa1808.com/f/ssoskhqgml/ssoskhqgml.m3u8
carib675神田,https://fc.maa1808.com/c/qmlpmophlh/qmlpmophlh.m3u8
carib563七濑,https://fc.maa1808.com/f/pwkupqugdm/pwkupqugdm.m3u8
carib674杏奈,https://fc.maa1808.com/g/jtlmkjipqv/jtlmkjipqv.m3u8
carib477立花琉莉,https://fc.maa1808.com/c/avmrmbmugl/avmrmbmugl.m3u8
carib758美笑爱,https://fc.maa1808.com/c/rnpmkvqfrr/rnpmkvqfrr.m3u8
carib431北川,https://fc.maa1808.com/d/jestvkpubl/jestvkpubl.m3u8
carib449神田,https://fc.maa1808.com/b/txaohlcqnn/txaohlcqnn.m3u8
carib563爱莉,https://fc.maa1808.com/d/qscypinana/qscypinana.m3u8
carib639神田,https://fc.maa1808.com/n/rpsqccbbug/rpsqccbbug.m3u8
carib457北川,https://fc.maa1808.com/h/unxtgmrxzw/unxtgmrxzw.m3u8
carib478北川,https://fc.maa1808.com/d/lhnviuaoqi/lhnviuaoqi.m3u8
加勒比720P19,https://video1.rhsj520.com/nyrm3/jlb-112/010811-585/1500kb/hls/index.m3u8
加勒比720P20,https://video1.rhsj520.com/nyrm3/jlb-112/101110-505/1500kb/hls/index.m3u8
加勒比720P21,https://video1.rhsj520.com/nyrm3/jlb-03-02/013011-605/1500kb/hls/index.m3u8
加勒比720P22,https://video1.rhsj520.com/nyrm3/jlb-2019-03/072711-762-1/1500kb/hls/index.m3u8
加勒比720P23,https://video1.rhsj520.com/nyrm3/jlb-2019-03/091411-806/1500kb/hls/index.m3u8
加勒比720P24,https://video1.rhsj520.com/nyrm3/jlb-2019-03/092011-811/1500kb/hls/index.m3u8
加勒比720P25,https://video1.rhsj520.com/nyrm3/jlb201902/031412-967/1500kb/hls/index.m3u8
加勒比720P26,https://video1.rhsj520.com/nyrm3/jlb201902/050212-010/1500kb/hls/index.m3u8
加勒比720P27,https://video1.rhsj520.com/nyrm3/jlb201902/071412-074/1500kb/hls/index.m3u8
加勒比720P28,https://video1.rhsj520.com/nyrm3/jlb201902/101912-161/1500kb/hls/index.m3u8
加勒比720P29,https://video1.rhsj520.com/nyrm3/jlb201902/110312-174/1500kb/hls/index.m3u8
加勒比720P30,https://video1.rhsj520.com/nyrm3/20180105/3/050313-328/1500kb/hls/index.m3u8
加勒比720P31,https://video1.rhsj520.com/nyrm3/20181220/jlb/013114-533/index.m3u8
加勒比350丘笑,https://fc.maa1808.com/f/ocyxhukqvo/ocyxhukqvo.m3u8
加勒比001THE4名,https://fc.maa1808.com/m/ajtnayynwz/ajtnayynwz.m3u8
加勒比206西川,https://fc.maa1808.com/d/oduhcvyunk/oduhcvyunk.m3u8
加勒比612希笑,https://fc.maa1808.com/n/kqnjvnpjkm/kqnjvnpjkm.m3u8
加勒比720P33,https://video1.rhsj520.com/nyrm3/jlb-112/010711-584/1500kb/hls/index.m3u8

2.一本道,#genre#
一本道1,https://vip4.ddyunbo.com/20210210/IjSENz6s/index.m3u8?skipl=1
一本道2,https://vip4.ddyunbo.com/20210209/dEzJjeSU/index.m3u8?skipl=1
一本道3,https://vip4.ddyunbo.com/20210208/6LaKp6lZ/index.m3u8?skipl=1
一本道4,https://vip4.ddyunbo.com/20210208/uWwFdRB7/index.m3u8?skipl=1
一本道5,https://vip4.ddyunbo.com/20210208/EZRbwZn4/index.m3u8?skipl=1
一本道6,https://vip4.ddyunbo.com/20210207/Lyhqjp3z/index.m3u8?skipl=1
一本道7,https://vip4.ddyunbo.com/20210203/DYtc79vE/index.m3u8?skipl=1
一本道8,https://vip4.ddyunbo.com/20210202/cy0urBhD/index.m3u8?skipl=1
一本道9,https://vip4.ddyunbo.com/20210202/cOf9FXgF/index.m3u8?skipl=1
一本道10,https://vip4.ddyunbo.com/20210202/jnSPf5L7/index.m3u8?skipl=1
一本道11,https://vip4.ddyunbo.com/20210202/6wLYbWPq/index.m3u8?skipl=1
一本道,https://vip4.ddyunbo.com/20210208/6LaKp6lZ/index.m3u8
一本道欧美版,http://live.redtraffic.xyz:80/bigass.m3u8
一本1[720*404],https://vip4.ddyunbo.com/20210223/lFsvEfoW/index.m3u8?skipl=1
一本2[720*402],https://vip4.ddyunbo.com/20210223/irFKB3O3/index.m3u8?skipl=1
一本4[720*404],https://vip4.ddyunbo.com/20210223/I28Qes3F/index.m3u8?skipl=1
一本3[720*404],https://vip4.ddyunbo.com/20210223/dRyGiQT6/index.m3u8?skipl=1
一本6[720*480],https://vip4.ddyunbo.com/20210219/2nbzl0Nn/index.m3u8?skipl=1
一本9[720*404],https://vip4.ddyunbo.com/20210222/HkzYbN40/index.m3u8?skipl=1
一本5[720*404],https://vip4.ddyunbo.com/20210219/gpUU8FL5/index.m3u8?skipl=1
一本8[720*404],https://vip4.ddyunbo.com/20210222/OrpC8XMK/index.m3u8?skipl=1
一本10[720*404],https://vip4.ddyunbo.com/20210222/T8jUItC4/index.m3u8?skipl=1
一本11[720*480],https://vip4.ddyunbo.com/20210222/lnXXFURu/index.m3u8?skipl=1
一本12[720*480],https://vip4.ddyunbo.com/20210222/vHNM8oLn/index.m3u8?skipl=1
一本13[720*480],https://vip4.ddyunbo.com/20210219/aPLXlCHM/index.m3u8?skipl=1
一本14[720*480],https://vip4.ddyunbo.com/20210219/hIvpPiyo/index.m3u8?skipl=1
一本16[720*480],https://vip4.ddyunbo.com/20210219/tN5b3rGe/index.m3u8?skipl=1
一本18[720*404],https://vip4.ddyunbo.com/20210222/4VY1cI3D/index.m3u8?skipl=1
一本17[720*404],https://vip4.ddyunbo.com/20210222/870lSnog/index.m3u8?skipl=1
一本15[720*480],https://vip4.ddyunbo.com/20210219/dZEd1c84/index.m3u8?skipl=1
一本20[720*404],https://vip4.ddyunbo.com/20210222/CcCsroEI/index.m3u8?skipl=1
一本22[720*404],https://vip4.ddyunbo.com/20210219/JXwjAkb1/index.m3u8?skipl=1
一本24[720*404],https://vip4.ddyunbo.com/20210219/5stYxCko/index.m3u8?skipl=1
一本23[720*404],https://vip4.ddyunbo.com/20210219/andENoyZ/index.m3u8?skipl=1
一本25[720*540],https://vip4.ddyunbo.com/20210222/Velff6Cm/index.m3u8?skipl=1
一本26[720*404],https://vip4.ddyunbo.com/20210221/KVQCdxL2/index.m3u8?skipl=1
一本28[720*404],https://vip4.ddyunbo.com/20210221/NuLuwLrU/index.m3u8?skipl=1
一本27[720*404],https://vip4.ddyunbo.com/20210221/Hglqm4Ie/index.m3u8?skipl=1
一本29[720*478],https://vip4.ddyunbo.com/20210221/3me5KE6r/index.m3u8?skipl=1
一本30[720*402],https://vip4.ddyunbo.com/20210221/K7buV86Q/index.m3u8?skipl=1
一本31[720*404],https://vip4.ddyunbo.com/20210217/xrgAGVko/index.m3u8?skipl=1
一本32[720*404],https://vip4.ddyunbo.com/20210217/W7sVftFa/index.m3u8?skipl=1
一本33[720*406],https://vip4.ddyunbo.com/20210217/vv5G8hc5/index.m3u8?skipl=1
一本34[720*404],https://vip4.ddyunbo.com/20210217/tJm8EtTa/index.m3u8?skipl=1
一本36[720*404],https://vip4.ddyunbo.com/20210217/YtSkHL54/index.m3u8?skipl=1
一本35[720*404],https://vip4.ddyunbo.com/20210217/2b6WumXT/index.m3u8?skipl=1
一本37[720*404],https://vip4.ddyunbo.com/20210217/w91VL2nv/index.m3u8?skipl=1
一本38[720*404],https://vip4.ddyunbo.com/20210217/WuYsmWD7/index.m3u8?skipl=1
一本39[720*404],https://vip4.ddyunbo.com/20210217/ZeTl6ypR/index.m3u8?skipl=1
一本40[720*404],https://vip4.ddyunbo.com/20210217/qw7aNFEi/index.m3u8?skipl=1
一本43[720*404],https://vip4.ddyunbo.com/20210216/mba3dm1T/index.m3u8?skipl=1
一本42[720*480],https://vip4.ddyunbo.com/20210216/G6XBJU3U/index.m3u8?skipl=1
一本41[720*404],https://vip4.ddyunbo.com/20210217/Q6BVr7v9/index.m3u8?skipl=1
一本44[720*480],https://vip4.ddyunbo.com/20210216/qBLO2AUD/index.m3u8?skipl=1
一本45[720*540],https://vip4.ddyunbo.com/20210216/wOkqhg3z/index.m3u8?skipl=1
一本46[720*404],https://vip4.ddyunbo.com/20210216/0DU9kDRE/index.m3u8?skipl=1
一本47[720*404],https://vip4.ddyunbo.com/20210216/DrOdfvSA/index.m3u8?skipl=1
一本48[720*404],https://vip4.ddyunbo.com/20210216/Y1oRb06u/index.m3u8?skipl=1
一本49[720*480],https://vip4.ddyunbo.com/20210216/lmfodqs0/index.m3u8?skipl=1
一本50[720*404],https://vip4.ddyunbo.com/20210216/OCg2OAO1/index.m3u8?skipl=1
一本51[720*404],https://vip4.ddyunbo.com/20210216/CzIxVZ1X/index.m3u8?skipl=1
一本52[720*404],https://vip4.ddyunbo.com/20210215/avNWovfp/index.m3u8?skipl=1
一本54[720*404],https://vip4.ddyunbo.com/20210215/kohhSqgj/index.m3u8?skipl=1
一本55[720*404],https://vip4.ddyunbo.com/20210215/HJSKHyXd/index.m3u8?skipl=1
一本58[720*404],https://vip4.ddyunbo.com/20210214/961oJ3gh/index.m3u8?skipl=1
一本59[720*404],https://vip4.ddyunbo.com/20210214/MNWCvejn/index.m3u8?skipl=1
一本56[720*404],https://vip4.ddyunbo.com/20210215/4dCj2jEo/index.m3u8?skipl=1
一本60[720*404],https://vip4.ddyunbo.com/20210214/Kktq79f6/index.m3u8?skipl=1
一本61[720*404],https://vip4.ddyunbo.com/20210214/k0e2Hiai/index.m3u8?skipl=1
一本62[720*404],https://vip4.ddyunbo.com/20210214/R2AMPS7r/index.m3u8?skipl=1
一本63[720*404],https://vip4.ddyunbo.com/20210214/HeAAGKRv/index.m3u8?skipl=1
一本64[720*404],https://vip4.ddyunbo.com/20210214/uyVAfQoX/index.m3u8?skipl=1
一本65[720*404],https://vip4.ddyunbo.com/20210214/sZVudN5P/index.m3u8?skipl=1
一本67[720*404],https://vip4.ddyunbo.com/20210213/yLoP1vf5/index.m3u8?skipl=1
一本68[720*404],https://vip4.ddyunbo.com/20210213/cRo6toFT/index.m3u8?skipl=1
一本69[720*404],https://vip4.ddyunbo.com/20210213/HePIPa2F/index.m3u8?skipl=1
一本66[720*404],https://vip4.ddyunbo.com/20210213/jyevrW8R/index.m3u8?skipl=1
一本70[720*404],https://vip4.ddyunbo.com/20210213/0AJrpgJl/index.m3u8?skipl=1
一本72[720*480],https://vip4.ddyunbo.com/20210213/CQB35BQP/index.m3u8?skipl=1
一本74[720*404],https://vip4.ddyunbo.com/20210213/IsgfJe2w/index.m3u8?skipl=1
一本75[720*404],https://vip4.ddyunbo.com/20210213/jeGSmRq1/index.m3u8?skipl=1
一本77[720*404],https://vip4.ddyunbo.com/20210213/pp7cLp44/index.m3u8?skipl=1
一本76[720*404],https://vip4.ddyunbo.com/20210213/yPii5NlP/index.m3u8?skipl=1
一本79[720*404],https://vip4.ddyunbo.com/20210213/bWyAJv5M/index.m3u8?skipl=1
一本78[720*480],https://vip4.ddyunbo.com/20210213/b7DcweSg/index.m3u8?skipl=1
